Project,Language,Identifier Type,Identifier Name
Autofac,C#,function,FourConstructors
Autofac,C#,variable,_container
Autofac,C#,variable,builder
Autofac,C#,class,OpenGenericBenchmark
Autofac,C#,class,IService
Autofac,C#,class,Service
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,ResolveOpenGeneric
Autofac,C#,variable,_container
Autofac,C#,variable,builder
Autofac,C#,class,Program
Autofac,C#,function,Main
Autofac,C#,function,BenchmarkSwitcher
Autofac,C#,function,BenchmarkConfig
Autofac,C#,class,PropertyInjectionBenchmark
Autofac,C#,class,A
Autofac,C#,class,B1
Autofac,C#,class,B2
Autofac,C#,class,C1
Autofac,C#,class,C2
Autofac,C#,class,D1
Autofac,C#,class,D2
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,Resolve
Autofac,C#,variable,_container
Autofac,C#,variable,builder
Autofac,C#,variable,instance
Autofac,C#,class,RequiredPropertyBenchmark
Autofac,C#,class,ServiceA
Autofac,C#,class,ServiceB
Autofac,C#,class,ConstructorComponent
Autofac,C#,class,RequiredPropertyComponent
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,NormalConstructor
Autofac,C#,function,RequiredProperties
Autofac,C#,function,ConstructorComponent
Autofac,C#,variable,_container
Autofac,C#,variable,builder
Autofac,C#,class,RootContainerResolveBenchmark
Autofac,C#,class,NonSharedDelegate
Autofac,C#,class,NonSharedReflection
Autofac,C#,class,Shared
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,NonSharedDelegate
Autofac,C#,function,OperatorNew
Autofac,C#,function,NonSharedDelegate
Autofac,C#,function,NonSharedReflectionResolve
Autofac,C#,function,NonSharedDelegateResolve
Autofac,C#,function,SharedResolve
Autofac,C#,variable,_container
Autofac,C#,variable,builder
Autofac,C#,variable,instance
Autofac,C#,variable,nonShared
Autofac,C#,variable,nonShared
Autofac,C#,variable,shared
Autofac,C#,class,DecoratorBenchmarkBase
Autofac,C#,function,Baseline
Autofac,C#,function,ResolveEnumerableT
Autofac,C#,function,ResolveT
Autofac,C#,variable,scope
Autofac,C#,variable,scope
Autofac,C#,variable,iteration
Autofac,C#,variable,item
Autofac,C#,variable,scope
Autofac,C#,variable,iteration
Autofac,C#,variable,item
Autofac,C#,class,KeyedGenericBenchmark
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,variable,builder
Autofac,C#,class,KeyedNestedBenchmark
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,CommandHandlerDecoratorOne
Autofac,C#,function,CommandHandlerDecoratorTwo
Autofac,C#,variable,builder
Autofac,C#,class,KeyedSimpleBenchmark
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,CommandHandlerDecoratorOne
Autofac,C#,variable,builder
Autofac,C#,class,KeylessGenericBenchmark
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,variable,builder
Autofac,C#,class,KeylessNestedBenchmark
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,variable,builder
Autofac,C#,class,KeylessNestedLambdaBenchmark
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,CommandHandlerDecoratorOne
Autofac,C#,function,CommandHandlerDecoratorTwo
Autofac,C#,variable,builder
Autofac,C#,class,KeylessNestedSharedInstanceBenchmark
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,variable,builder
Autofac,C#,class,KeylessNestedSharedInstanceLambdaBenchmark
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,CommandHandlerDecoratorOne
Autofac,C#,function,CommandHandlerDecoratorTwo
Autofac,C#,variable,builder
Autofac,C#,class,KeylessSimpleBenchmark
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,variable,builder
Autofac,C#,class,KeylessSimpleLambdaBenchmark
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,function,CommandHandlerDecoratorOne
Autofac,C#,variable,builder
Autofac,C#,class,KeylessSimpleSharedInstanceBenchmark
Autofac,C#,function,Setup
Autofac,C#,function,ContainerBuilder
Autofac,C#,variable,builder
