dev_username,followers,NoC,AB,NAB,CII,CNII,CE,NCE,INEI,IEI,AddLGM,DelLGM,ChurnLGM,NoMGM,AddLOC,DelLOC,churnLOC,AddF,DelF,AddSAM,DelSAM,ChurnSAM,DiP,ICT,project,job
7bd57ea686ea26408100e98df0bdc6b6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-petclinic,UNKNOW
0f17e534ac58514a8d36bb4db8d190d7,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1286.0541666666666,257.2108333333333,spring-petclinic,UNKNOW
0d6eb01afefe736941bd3406dfcbbac6,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-petclinic,UNKNOW
49ae5435e93a949aa6d38ee242efa2f0,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-petclinic,UNKNOW
baca82d66ec57cd77c686751f8042ffe,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-petclinic,UNKNOW
a2a0a87539e8b6d37afe7ef8fc7826ae,1173,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0,-4.0,0.0,0.0,0.0,0.0,0.0,32.585300925925935,16.292650462962968,spring-petclinic,UNKNOW
e50b4db1538e0226daeb2532a402d51c,34,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982407407407408,0.4991203703703704,spring-petclinic,UNKNOW
03a71a99d78493564c2287245fa8fd49,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-petclinic,UNKNOW
8d12726eac1b46bff694ef04382c8ed1,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-petclinic,UNKNOW
e992c74ae9db6c126a7c63c3a40a82f7,132,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,-12.0,0.0,176.0,128.0,48.0,0.0,0.0,0.0,0.0,0.0,923.2694212962964,184.6538842592593,spring-petclinic,UNKNOW
9f2af07e1509bad3feda098858e01ecf,2372,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,-1.0,0.0,8.0,33.0,-25.0,0.0,0.0,0.0,0.0,0.0,590.5604282407407,291.5782523148148,spring-social,SE
d60c227e1bb5e1f075534ed29d1b6cfc,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,6.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social,UNKNOW
d6c916ccdf7372e1311a6d80642f03cf,3,1,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spring-social,UNKNOW
4c83835be48caa4ee776ba07d2b79fd4,148,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,30.11435185185185,15.057175925925923,spring-social,UNKNOW
